ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_DAPI,Intensity_IntegratedIntensityEdge_PI,Intensity_IntegratedIntensity_DAPI,Intensity_IntegratedIntensity_PI,Intensity_LowerQuartileIntensity_DAPI,Intensity_LowerQuartileIntensity_PI,Intensity_MADIntensity_DAPI,Intensity_MADIntensity_PI,Intensity_MassDisplacement_DAPI,Intensity_MassDisplacement_PI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensityEdge_PI,Intensity_MaxIntensity_DAPI,Intensity_MaxIntensity_PI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensityEdge_PI,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_PI,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_PI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensityEdge_PI,Intensity_MinIntensity_DAPI,Intensity_MinIntensity_PI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensityEdge_PI,Intensity_StdIntensity_DAPI,Intensity_StdIntensity_PI,Intensity_UpperQuartileIntensity_DAPI,Intensity_UpperQuartileIntensity_PI,Number_Object_Number
1,40,4.656778838,3.205249123,38.81966898,15.93319605,0.050385289,0.031296253,0.026886396,0.00111391,0.977741815,0.216268138,0.065293357,0.036774244,0.146288246,0.036774244,0.045654694,0.031424011,0.078901766,0.032384545,0.075288013,0.032410163,0.036285955,0.027573053,0.036285955,0.027573053,0.006379239,0.001877347,0.029653894,0.001669109,0.10438697,0.03352407,40
1,41,4.523567578,3.691279504,69.12753499,22.63927679,0.054879073,0.031548027,0.043839168,0.001525905,0.282585508,0.2261136,0.06065461,0.037750822,0.200946063,0.038788434,0.038662971,0.031549397,0.100769001,0.033001861,0.097688258,0.033081561,0.027359426,0.02716106,0.027359426,0.02716106,0.006910031,0.002614396,0.048315434,0.002370871,0.143076219,0.034584574,41
1,42,4.8110628,4.368886875,77.8429086,30.04533469,0.058014801,0.03321889,0.029510945,0.001022354,0.2593399,0.143093073,0.05024796,0.037109941,0.161638826,0.038925763,0.036447445,0.033097628,0.088659349,0.034220199,0.092057683,0.034195468,0.027954528,0.029358359,0.027954528,0.029358359,0.004335486,0.001433594,0.034675798,0.00148239,0.119668879,0.035248339,42
1,43,3.563622501,6.776424838,43.8350958,53.54822635,0.04522774,0.055954833,0.032547496,0.035217822,0.49670913,1.709162184,0.04380865,0.122072175,0.151445791,0.196993977,0.032996505,0.062744674,0.078276957,0.095621833,0.073289081,0.09080644,0.026108187,0.030045014,0.026108187,0.030045014,0.004824183,0.025454229,0.036468568,0.0441386,0.111680783,0.127580687,43
1,44,4.408438243,4.063065549,81.77212184,26.89275968,0.057377737,0.03286412,0.037827116,0.001037616,0.284476461,0.084061638,0.050644692,0.037796598,0.197756931,0.038651101,0.035551921,0.032766658,0.102858015,0.033827371,0.112062257,0.033829253,0.028336003,0.02775616,0.028336003,0.02775616,0.004534561,0.002258701,0.046209824,0.001734166,0.139677271,0.03500801,44
1,45,3.951125365,3.567483028,44.56040289,20.06070042,0.046784161,0.033089191,0.025574125,0.001403831,0.304063575,0.111176599,0.052094299,0.036835279,0.138262004,0.045242999,0.036584494,0.03303225,0.077094123,0.034707094,0.083085373,0.034454871,0.029556725,0.028427558,0.029556725,0.028427558,0.004912177,0.001765548,0.029598915,0.002516152,0.101594567,0.035957884,45
1,46,3.300144989,2.394048983,22.86657519,9.711390898,0.046417944,0.028564889,0.022125579,0.000976577,0.267252212,0.183896474,0.056610972,0.034012359,0.120576791,0.034012359,0.040742531,0.02955616,0.069715168,0.029607899,0.069169149,0.029526208,0.033112079,0.026337072,0.033112079,0.026337072,0.005985265,0.001877971,0.024870095,0.001487448,0.090638593,0.030579081,46
1,47,3.938307779,3.456870375,42.94349585,19.06140235,0.050835432,0.032227054,0.020492867,0.000862136,0.141240543,0.143499973,0.054230563,0.036682688,0.134187832,0.037109941,0.037153847,0.032611985,0.074425469,0.033035359,0.077286944,0.033012893,0.028900588,0.028656444,0.028900588,0.028168155,0.005241884,0.001687005,0.026350695,0.001366,0.094869152,0.033966582,47
1,48,4.374853149,3.789501801,40.59270624,19.04754712,0.051937897,0.032272831,0.019081408,0.000854505,0.294792459,0.091404658,0.058854047,0.037186235,0.122590981,0.037354086,0.038375905,0.033241244,0.070842419,0.033241793,0.072373543,0.033119708,0.029831387,0.030334936,0.029831387,0.030243382,0.005731321,0.001708207,0.023047,0.001345029,0.090081638,0.033978026,48
1,49,4.526726201,4.221667813,75.74729535,26.7005875,0.048645761,0.032715343,0.043472946,0.001281757,0.512505186,0.150693308,0.04776074,0.037964448,0.199954227,0.041443504,0.035365048,0.03298178,0.096616448,0.034056872,0.099412531,0.033920806,0.026642252,0.027817197,0.026642252,0.027817197,0.004405053,0.002282205,0.046806188,0.001969468,0.134019986,0.03527886,49
1,50,3.170870533,3.004989706,43.56067747,17.16231029,0.043896391,0.029480431,0.03444724,0.00170901,0.095409771,0.319073606,0.045166705,0.037399862,0.148424506,0.038025483,0.031708705,0.030049897,0.079345496,0.031261039,0.074334323,0.031059739,0.025329977,0.026382849,0.025329977,0.026382849,0.003906854,0.002368444,0.037856567,0.002317891,0.114156559,0.03286412,50
1,51,4.085313212,2.946974926,41.46933703,15.06025792,0.059128709,0.032089721,0.029694065,0.001220722,0.52705726,0.142895998,0.066651411,0.035370413,0.157335773,0.03901732,0.044405578,0.032032336,0.091746321,0.033319155,0.095872432,0.033340964,0.03186084,0.028000304,0.03186084,0.028000304,0.006662976,0.001449941,0.034394576,0.001747434,0.121293962,0.034531165,51
1,52,3.94573894,3.170641664,38.93667513,15.59252313,0.048233768,0.031616695,0.032867935,0.001251239,0.362918703,0.141223714,0.052780956,0.036926832,0.164202332,0.037903409,0.039457389,0.031706417,0.082144884,0.032895618,0.079102769,0.033066299,0.030823225,0.027527276,0.030823225,0.027527276,0.004390906,0.001961226,0.036380185,0.001825063,0.114610516,0.034203097,52
1,53,4.254490003,3.643030452,37.39674981,17.69787144,0.054489966,0.032837417,0.017380029,0.000869766,0.245791217,0.097484752,0.052491035,0.037918668,0.116395816,0.037918668,0.039393426,0.033731763,0.071367843,0.033774564,0.073456928,0.033646144,0.030777447,0.031174181,0.030777447,0.030533303,0.005739947,0.00164419,0.022019541,0.001363677,0.089280538,0.034607463,53
1,54,7.847501369,28.60990315,82.84699784,224.6308689,0.054528115,0.034744792,0.023758292,0.010498207,1.508541939,11.05917983,0.116594188,0.761501491,0.142153054,0.83312732,0.043356361,0.158065763,0.078305291,0.212316511,0.078889146,0.04261845,0.029922942,0.0299382,0.029922942,0.0299382,0.016558446,0.190810042,0.02760567,0.237319804,0.102258336,0.414099336,54
1,55,4.232318623,3.314351125,41.48912803,17.25653474,0.054055084,0.032249942,0.02624552,0.00137331,0.099689246,0.205839807,0.07849241,0.037674524,0.138231486,0.038498513,0.04149332,0.032493638,0.080718148,0.033573025,0.08393988,0.033554588,0.029633021,0.02778668,0.029633021,0.02778668,0.011165208,0.00229778,0.030518797,0.001924433,0.106614783,0.035057604,55
1,56,4.076188304,3.207568474,42.9166247,15.39716187,0.052162968,0.03138018,0.036850538,0.001449607,0.134759976,0.205721494,0.057022966,0.037827116,0.176958874,0.037903409,0.040761883,0.032075685,0.091311967,0.032759919,0.088410772,0.032806896,0.033539329,0.028046083,0.033539329,0.027252613,0.0050136,0.002363496,0.040797191,0.002026334,0.126619361,0.034287021,56
1,57,3.301777674,2.654444193,38.98735029,12.34985888,0.051987488,0.030617228,0.047165636,0.001724269,0.277287432,0.264683641,0.053955901,0.038605325,0.210742354,0.038605325,0.038844443,0.031228755,0.102061126,0.032329474,0.095246814,0.032806896,0.028747998,0.026550699,0.028747998,0.026550699,0.005678472,0.002877531,0.053614485,0.002389086,0.149080642,0.034256503,57
1,58,2.651728101,1.974212248,12.64200811,6.587838575,0.045380332,0.029312581,0.012588695,0.001129167,0.060107516,0.161483395,0.054978255,0.034271762,0.08856336,0.034531165,0.040795817,0.030372496,0.058527815,0.030499253,0.058976121,0.030350195,0.032410163,0.026581217,0.032410163,0.026581217,0.005858402,0.001678853,0.015134318,0.001562654,0.071000226,0.031616695,58
1,59,4.180834688,3.141023891,40.92481888,15.81031515,0.050186925,0.031830318,0.032837421,0.00106813,0.51345353,0.162813843,0.061844815,0.038361181,0.175570309,0.038361181,0.043550361,0.032718999,0.085260039,0.032938157,0.084596016,0.032959487,0.032761119,0.029007401,0.032761119,0.028015565,0.005366646,0.001723623,0.035458796,0.001484333,0.114564739,0.033981841,59
1,60,4.541237513,4.166643791,85.30875108,29.47972846,0.054940108,0.032745861,0.02755779,0.00111391,0.474215641,0.124199378,0.048569467,0.036728464,0.19626154,0.040878918,0.035478418,0.032551905,0.098056036,0.033884745,0.111421376,0.033859771,0.028686961,0.029190509,0.028686961,0.028839551,0.004102505,0.001530414,0.042089693,0.001750121,0.129716948,0.035019454,60
1,61,4.627527304,3.843335638,70.28740381,22.23407347,0.052643627,0.032272831,0.050690472,0.001449607,0.544907022,0.323958732,0.053757533,0.037460897,0.240177006,0.040375371,0.039216333,0.032570641,0.106496066,0.03368799,0.104325935,0.033722438,0.028992143,0.026504921,0.028992143,0.026504921,0.005604313,0.002911621,0.053822736,0.002272034,0.153795674,0.035141528,61
1,62,4.82189671,3.998535153,77.61065083,26.14692922,0.062447548,0.031692989,0.030067902,0.000984207,0.161416489,0.251268667,0.054703593,0.035873961,0.165774018,0.037674524,0.038269022,0.031734406,0.096892198,0.032642858,0.104493782,0.032715343,0.029785611,0.026642252,0.029785611,0.026642252,0.005079439,0.001965513,0.038149013,0.00153598,0.129026473,0.033688106,62
